Rating,Ulasan
5,Barang sesuai pesanan. Kualitas barang sangat bagus untuk harganya.
5,"cakeeeppp bgt ini weehhhh, di kaki pas gak kegedean/kekecilaann, semoga aweett yaaa🤍✨"
5,"Sumpah ini sepatu keren banget rekomen benget buat kalian yg suka olahraga atau untuk berpergian jauhh agar kaki klian tetap angat dan tidak dingin, paket sesuai pesanan"
5,"sesuai di etalase, sepatu nyaman & empuk dipake, ortu suka banget. best sih merknya sepatunya"
5,"Cucok skli buat run dan nyaman, pas ukirannya sesuai sekali"
5,"Paket mendarat dgn sempurna, barang ori dan bagus"
5,"Panjang kaki 23, pilih ukuran 36 agak sesak sh better keliatannya ukuran 37. sepatu empuk dan nyaman"
5,CAKEPNYA DILUAR EKSPEKTASI BANGETTTTT😍😍😍😍😍😍😍😍
5,"ukuran sempat kekecilan,alhamdulillah bisa ditukar ke size gede,nyaman dikaki, pokonya best lah 👍"
5,"barang sesuai deskripsi, kualitas bagus, semoga awet"
5,Ukuran pas. Finishing rapi. Insole empuk.Ringan dan nyaman di kaki.
5,spatunya cocok
5,"ukuran cocok ke kaki sy, model bagus, ringan dan awet 👍"
5,"Sepatunya bagus sesuai deskripsi, pengiriman juga cepat, enteng bgt nyaman dikaki"
5,bagus dan ukuran pas. produk lokal emang ga kalah kerenn
5,"Bagus tapi sayang kekecilan, udh pilih ukuran cm yang biasa pakai"
5,"ukurannya sesuai, enak dipakai, modelnya cantik, ringan banget.. semoga awet yaa"
5,Paketku sdh smpe.. Wow sepatunya ringan di kaki stlh di coba..
5,Sepatunya nyaman dipakai tidak bikin kaki sakit solnya empuk maaf baru kasih ulasan
5,bagus empuk dan nyaman dipakai jalan. sol nya mudah berkerut
5,"Keren sepatunya
Kualitas ok
Nyaman di pake"
5,"bagus, sesuai deskripsi. ukuran pas, jahitan rapi. top."
