Produk,Rating,Ulasan
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"Gak mengecewakan di harganya yang 300an, nyaman dipakenya. Semoga aja awet nih."
KANKY x AGAINST LAB Story Kitadake & EXC-02 - Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,"bagus pelayanan nya, sya retur juga di bales hehe, enak sepatu nya cakeppp"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,Mantapp
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Barang sdh samapai,real pict.
Berhubung ini utk kado,semoga size nya muat."
Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Sepatunya bagus banget dan kece terimakasih
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Good product nice
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Luar biasa... Empuk, enak dipakai... Ga bakal nyesel beli sepatu ini... Pasti bakal beli lagi, warna yg lain... Terima kasih min"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Bagus cocok seller baik
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,4,"Sepatunya bagus, nyaman dan ringan tetapi minusnya bagian belakang kaki lecet mungkin penggunaan kaos kaki yg kurang naik dan saat pembelian kemarin pengiriman lama sekal... "
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,"Barang sangat mantap sesuai dengan deskripsi, sudah lama cari sepatu yang pas dan model ini yang sangat tepat untuk saya,"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"Sebenarnya saya sudah pengen sekali sepatu ini, alhasil bagaimana ceritanya bisa memakaninya. Terima kasih sudah memberikan produk yang nyaman untuk dipakai.."
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Sepatu nyaa bguss 🩷🏃🏻‍♀️ cumaa pengiriman nya lama bgt 😩
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,Memuaskan
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Jos
Kanky x Tahilalats x One Piece Story Kagayaku Zoro - Sepatu Sneakers Casual Sport Pria/Wanita Dewasa,5,Jossss
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,real pict ganteng asli sepatunya moga awet dibawa lari harian
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,barang bagus kualitas oke dan nyaman dipakai
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,5,"Keren banget pokoknya kanky harga terjangkau kualitas jempolan

Ini sepatu cocok bgt buat sepatu casualan kwkwkwkw sayang buat basket malah jd rusak nampaknya"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Maksih min bagus
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"modelnya keren, enak dipake, empuk, blm dicoba jalan jauh sih, mudah2an ok. #SupportProdukLokal Indonesia"
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,5,Pengiriman sat set G smpe 2 x 24 jam smpai
